UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,age,Employment.Type,DaysSincedisbursal,State_ID,Employee_code_ID,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,NO.OF_INQUIRIES,loan_default
418405,54003,70034,78.53,13,23465,51,30,,845,8,1787,771,B-Very Low Risk,3,1,0,1247758,1290000,1290000,14293,0,0,0,0,1
520905,62813,80556,79.45,13,23465,51,35,,590,8,1787,369,K-High Risk,2,1,1,442700,397000,397000,0,0,0,1,0,1
478878,59947,76740,80.79,29,16080,86,22,,611,3,1559,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
549521,66882,91280,75.59,29,16080,86,21,,581,3,1559,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
503205,60288,71853,85,5,15663,86,20,,597,9,259,17,Not Scored: Not Enough Info available on the customer,1,1,0,0,21,21,0,0,0,0,0,1
427715,54303,69760,78.84,5,15996,120,22,,633,9,259,446,K-High Risk,1,1,1,61524,61524,61524,0,0,0,0,0,1
435481,57259,64918,89.34,5,15663,86,20,,628,9,259,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
510417,55139,69351,85,5,14178,86,21,,594,9,678,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
581560,69123,115620,61.41,10,21752,51,20,,564,3,760,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
569783,51303,76590,69.2,10,21752,51,22,,539,3,760,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
487324,59213,68432,89.14,138,20470,86,22,,785,9,878,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
494204,54459,69784,80.25,138,20470,86,20,,663,9,878,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
537589,55213,72372,78.76,78,18103,86,24,,584,4,104,599,I-Medium Risk,2,2,1,7500,31700,31700,0,0,1,1,0,1
591134,56959,75943,77.03,78,18103,86,21,,560,4,104,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
575570,66982,80461,87,255,23415,45,22,,567,3,67,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
556180,67882,105133,66.58,255,23094,48,19,,784,3,67,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
521405,71817,108741,68.05,255,23094,48,19,,590,3,67,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
514349,26529,56272,49.76,255,23094,48,22,,592,3,67,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
498582,42210,60579,72.63,255,23094,48,22,,571,3,22,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
555705,59947,69549,89.15,1,22898,86,38,,784,3,1827,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
604293,56269,73013,79.44,5,17980,86,21,,557,9,1589,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
464949,58209,68817,87.19,5,17980,86,27,,616,9,1589,366,K-High Risk,1,1,1,96118,156000,156000,2600,0,0,1,0,1
614169,59618,73013,84.23,5,17980,86,20,,556,9,1589,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
481608,56269,68817,84.28,5,17980,86,21,,610,9,1589,300,M-Very High Risk,1,1,1,7054,75000,75000,0,0,0,0,0,1
462068,25841,70837,38.12,67,23146,86,20,,617,6,1049,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
577122,68082,87340,80.15,67,23146,86,19,,566,6,1049,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
633940,73751,101995,74.51,1,21795,51,19,,552,3,1076,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
633414,52478,70058,76.22,152,22951,49,21,,552,3,257,434,K-High Risk,2,1,1,14882,63000,63000,2783,0,0,1,0,1
638643,62213,71475,89.54,152,14144,45,21,,551,3,1263,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
472288,28279,76445,37.94,16,16445,86,23,,612,14,1168,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
447609,43429,93461,49.22,120,23645,48,22,,623,12,1278,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
459964,41330,69844,63,120,23645,48,21,,618,12,1278,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
573135,45685,85447,56.18,120,23645,48,21,,509,12,1278,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
460069,51223,69450,77.75,20,20348,45,21,,618,5,375,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
545146,58032,69522,84.99,7,18714,86,22,,582,3,1626,738,C-Very Low Risk,10,4,0,66520,147250,147250,28710,0,2,0,1,1
550655,51353,66501,82.71,5,18130,86,22,,581,9,963,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
631214,88755,116276,78.26,136,18651,48,22,,553,8,791,723,D-Very Low Risk,2,2,0,8932,66900,66900,1191,0,0,0,0,1
552625,35439,114396,32.34,136,18651,48,22,,580,8,791,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
549762,56959,68870,84.22,136,21715,86,22,,581,8,791,763,B-Very Low Risk,2,1,0,4741,30000,30000,1600,0,0,0,0,1
609345,52478,68930,79.79,105,20292,48,23,,556,6,1924,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
625133,39368,51770,79.78,105,20292,48,21,,554,6,1924,836,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,1
598730,39368,51770,79.78,105,20292,48,23,,558,6,1924,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
653423,27731,70981,40.64,67,22350,86,21,,549,6,658,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
626933,53553,68129,80.73,5,17980,86,23,,554,9,950,771,B-Very Low Risk,1,1,0,381710,400000,400000,0,0,1,0,0,1
562746,68282,77500,89.55,117,23606,86,22,,631,4,1015,599,I-Medium Risk,2,2,0,13356,30083,30083,2832,0,0,1,0,1
434731,48749,61540,81.25,67,18532,45,21,,511,6,1861,825,A-Very Low Risk,2,0,0,0,0,0,4259,0,0,0,0,1
433301,54303,68767,79.98,5,14293,86,22,,541,9,467,300,M-Very High Risk,5,2,1,137011,201750,201750,9509,0,0,0,0,1
476143,70159,94900,74.85,136,17217,51,22,,611,8,946,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
564038,59713,75900,79.71,136,23393,45,42,,631,8,946,17,Not Scored: Not Enough Info available on the customer,1,1,0,12499,25000,25000,2084,0,1,0,2,1
536257,58759,70900,83.92,136,18401,49,35,,585,8,946,634,G-Low Risk,5,4,0,515000,517000,517000,517000,0,1,0,0,1
501101,70317,89900,79.53,136,23310,48,20,,510,8,946,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
580763,57059,68000,85,136,17783,86,41,,565,8,946,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
469305,33161,83800,40.57,136,23310,48,22,,613,8,946,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
501756,88620,114900,78.33,136,23310,48,20,,510,8,946,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
539927,57313,78153,76.77,7,18174,45,22,,584,3,1564,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
639400,62147,79181,82.09,7,18174,45,22,,550,3,1564,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
437581,97490,118000,83.9,2,24180,86,22,,627,4,1962,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
468385,58013,66000,89.39,2,23170,86,22,,613,4,1302,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
500548,53903,67675,80.68,82,17411,86,23,,540,19,1693,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
607534,51302,67610,79.57,105,20292,48,19,,557,6,1583,17,Not Scored: Not Enough Info available on the customer,1,1,0,28967,30000,30000,1250,0,1,0,0,1
650402,52478,68930,79.79,105,20292,48,20,,549,6,1583,845,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,1
457154,30341,42940,74.52,105,20292,48,21,,619,6,1583,836,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,1
603899,62447,70729,89.78,64,16251,45,22,,557,9,655,300,M-Very High Risk,3,1,1,689404,530000,530000,15926,0,0,1,0,1
541462,52167,67685,78.61,64,16251,45,21,,583,9,655,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
587692,61147,69791,89.55,64,16251,45,31,,561,9,655,738,C-Very Low Risk,2,2,0,13456,22177,22177,2235,0,2,0,13,1
437533,73300,105003,70.95,64,16140,51,21,,627,9,382,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
436121,43919,92025,50.53,120,23428,48,21,,628,12,695,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
443770,42194,67263,65.12,120,23966,86,22,,624,12,695,706,D-Very Low Risk,1,1,0,188621,250000,250000,5637,0,0,0,0,1
545903,47745,97523,50.86,120,22935,49,22,,582,12,695,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
581833,50003,68058,75.96,120,23966,86,21,,564,12,695,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
561457,49678,74565,69.2,120,23966,86,22,,631,12,695,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
575564,37639,69542,55.36,105,20333,45,21,,567,6,1342,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
633157,46549,92737,51.76,146,14143,48,22,,552,17,1631,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
624714,63213,93578,68.39,146,14143,48,23,,554,17,1631,657,F-Low Risk,1,1,0,472109,500000,500000,12561,0,0,0,0,1
556932,62039,74854,85,146,18317,86,30,,753,17,1631,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
482400,61847,85769,74.5,146,14143,48,20,,610,14,1631,606,H-Medium Risk,1,0,0,0,0,0,1725,0,0,0,0,1
639741,63213,77341,82.75,146,14356,45,36,,550,17,1631,16,Not Scored: No Activity seen on the customer (Inactive),1,1,0,0,37000,37000,0,0,0,0,0,1
566086,59259,75593,79.37,146,14356,45,32,,600,17,1631,593,I-Medium Risk,1,0,0,0,0,0,2433,0,0,0,0,1
518827,50095,66250,77.96,17,20335,86,20,,591,17,1470,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
618159,54053,103670,52.81,17,16471,51,23,,555,17,1470,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
629051,64669,78568,83.37,82,18559,86,25,,553,19,1017,654,F-Low Risk,21,6,1,489821,480000,480000,1760500,0,4,0,1,1
640385,67369,87134,78.27,136,23982,51,21,,550,8,1304,625,H-Medium Risk,1,1,0,95166,112000,112000,0,0,0,0,0,1
426279,67482,78038,88.55,13,21019,86,21,,664,8,765,15,Not Scored: Sufficient History Not Available,2,2,0,45750,45000,45000,45000,0,2,0,0,1
478561,72117,114592,64.4,13,18715,48,22,,611,8,765,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
479519,72623,118697,62.34,13,18715,48,21,,611,8,765,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
546404,37439,87600,43.95,11,22177,120,21,,582,3,227,738,C-Very Low Risk,3,1,0,16951,30000,30000,3175,0,1,0,1,1
623719,82010,116700,74.55,11,22177,120,21,,554,3,227,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
458936,60933,100500,63.68,11,22177,120,20,,618,3,227,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
524368,81000,136000,60.27,2,14770,48,22,,589,4,987,825,A-Very Low Risk,1,0,0,0,0,0,1775,0,0,1,0,1
616398,96490,121173,81.7,82,23474,86,20,,555,19,828,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
471030,60413,76599,80.94,138,20470,86,21,,613,9,533,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
584511,55428,68488,85,138,20470,86,20,,563,9,533,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
562057,60435,74614,85,138,20470,86,21,,631,9,533,300,M-Very High Risk,7,2,2,38085,77000,77000,9202,0,0,1,5,1
470973,54459,66437,84.29,138,20470,86,20,,613,9,533,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
445317,51503,64288,82.44,138,20470,86,22,,624,9,533,300,M-Very High Risk,3,1,1,27648,50000,50000,2690,0,0,0,0,1
555043,57013,66972,88.1,152,17795,86,21,,784,3,561,17,Not Scored: Not Enough Info available on the customer,1,1,0,8855,12397,12397,1864,0,1,0,1,1
435733,62013,70600,89.94,13,15884,86,20,,628,8,593,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
419418,59328,67628,89.9,76,18231,86,34,,786,8,202,621,H-Medium Risk,3,1,0,96196,0,92000,186000,0,0,0,1,1
419504,80533,109354,74.99,136,15129,48,20,,786,8,654,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
634314,88620,120625,74.61,136,15129,48,21,,552,8,654,15,Not Scored: Sufficient History Not Available,3,1,0,62786,127416,127416,260995,0,1,0,5,1
479580,63382,87534,74.83,8,16322,48,24,,611,3,1661,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
452674,45099,72200,65.1,8,17477,86,21,,620,3,1661,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
651464,74751,102107,74.43,146,14124,48,20,,549,14,517,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
515955,55500,71918,79.95,146,21980,86,22,,592,14,517,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
630574,62213,81340,77.45,146,21980,86,22,,553,14,517,738,C-Very Low Risk,2,1,0,3079,8921,8921,2852,0,1,0,1,1
652147,77751,105445,74.92,146,13988,48,34,,549,14,517,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
427500,47549,63536,78.7,5,15663,86,21,,633,9,188,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
441031,55219,65896,88.02,5,14145,86,22,,625,9,188,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
424290,57993,72350,84.31,5,23736,51,21,,694,9,188,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
578735,68663,92514,77.83,5,14145,86,21,,565,9,188,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
517937,57459,73262,80.53,146,14142,45,47,,591,14,1029,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
587076,56259,74439,77.92,146,14142,45,28,,562,17,1029,441,K-High Risk,12,2,1,42592,75000,75000,0,0,0,1,0,1
540652,66169,84400,79.38,136,23405,51,21,,583,8,781,484,K-High Risk,1,1,1,1948,3898,3898,650,0,0,1,0,1
574091,59259,71051,84.45,136,18087,86,21,,567,8,781,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
450104,49349,67639,73.92,136,24224,51,20,,621,8,781,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
578865,57259,72895,81.62,138,15663,86,22,,565,9,633,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
540257,59013,81205,73.89,136,24003,51,33,,583,8,77,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
634088,73623,119865,62.57,136,20495,48,23,,552,8,77,609,H-Medium Risk,2,1,0,102149,100000,100000,220445,0,1,0,0,1
622626,67169,119865,56.73,136,14123,48,20,,554,8,77,738,C-Very Low Risk,6,2,0,28947,50000,50000,2534,0,1,0,1,1
596206,85989,116717,74.54,136,14188,48,21,,559,8,77,825,A-Very Low Risk,7,1,0,1541,26000,26000,7546,0,0,0,1,1
473971,97399,142713,69.37,136,22826,49,19,,612,8,77,753,C-Very Low Risk,4,1,0,15762,26000,26000,132000,0,0,0,0,1
600858,55259,74839,74.83,136,14123,48,34,,558,8,77,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
590867,84033,119865,70.91,136,14123,48,21,,560,8,77,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
465341,73623,100618,74.54,136,14123,48,21,,615,8,77,17,Not Scored: Not Enough Info available on the customer,1,1,0,50850,54524,54524,0,0,1,1,0,1
638366,46549,67010,70.44,73,23166,45,20,,551,16,150,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
625283,61213,76000,82.89,146,21003,86,29,,554,14,1025,300,M-Very High Risk,2,2,2,801069,1213700,1213700,9435,0,0,0,1,1
461847,51803,67000,79.85,146,17921,86,22,,617,14,1025,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
573463,55759,72000,79.86,146,15359,86,38,,567,14,1025,832,A-Very Low Risk,3,0,0,0,0,0,0,0,0,0,0,1
466904,50413,68888,76.94,5,15642,120,20,,614,9,936,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
532792,71817,84457,87.62,255,23173,86,20,,586,3,88,590,I-Medium Risk,8,2,1,55538,100000,100000,15484,0,0,1,0,1
650003,57259,73350,79.07,136,23405,51,22,,549,8,924,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
426315,53539,64012,89.51,5,14145,86,22,,664,9,326,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
623996,56812,68298,85,138,14178,86,22,,554,9,1099,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
452300,57663,66087,89.73,138,14178,86,21,,620,9,1099,653,F-Low Risk,1,1,0,47548,53000,53000,0,0,1,0,0,1
542610,62213,90833,70.46,104,22635,48,19,,583,10,531,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
521640,87889,104666,84.94,82,18559,86,23,,590,19,508,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
540256,64782,77599,84.92,82,18559,86,22,,583,19,508,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
423086,61547,70388,88.94,82,18559,86,20,,694,19,508,300,M-Very High Risk,1,1,1,688777,670000,670000,15128,0,0,1,0,1
445484,53503,61600,89.29,136,23672,45,20,,624,8,1816,407,K-High Risk,10,2,1,71969,120900,120900,13296,0,0,0,1,1
514175,63014,89011,73.59,136,17049,48,21,,592,8,1816,300,M-Very High Risk,1,1,1,24933,30000,30000,1610,0,0,0,0,1
475687,72523,113202,66.16,136,17049,48,19,,611,8,1816,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
512806,43094,55327,79.53,136,15941,51,22,,593,8,1036,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
609015,96190,131000,74.81,248,22239,48,21,,557,4,113,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
422360,53803,66796,82.34,136,17783,86,21,,694,8,1207,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
596969,62213,71143,88.55,136,17783,86,21,,558,8,1207,300,M-Very High Risk,5,3,2,142002,143500,143500,108524,0,4,2,0,1
441509,30372,63306,51.02,36,18461,45,22,,625,13,1864,16,Not Scored: No Activity seen on the customer (Inactive),1,0,0,0,0,0,0,0,0,0,0,1
489514,33984,41467,84.4,136,14123,48,48,,754,8,566,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
632108,82533,133316,63.01,136,14123,48,21,,553,8,566,753,C-Very Low Risk,4,1,0,9166,0,50000,64660,0,0,0,0,1
439877,47399,68928,71.09,146,18317,86,20,,625,17,1193,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
441769,54259,67873,82.51,146,18317,86,21,,625,14,1193,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
442294,52203,67967,79.45,146,18317,86,43,,625,17,1193,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
446296,67119,115802,59.58,146,16756,120,21,,623,14,1193,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
477934,54013,69464,80.62,146,18317,86,54,,611,14,1193,493,K-High Risk,6,2,1,51033,87600,91276,4752,0,0,0,1,1
586473,64882,78210,84.39,136,17783,86,21,,562,8,1295,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
489803,70623,91160,78.98,136,18651,48,22,,754,8,780,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
455783,49049,64681,77.3,136,22865,45,22,,619,8,780,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
501017,58259,119488,50.21,136,18651,48,21,,510,8,780,501,K-High Risk,8,4,1,1053148,1140000,1140000,414903,0,2,1,0,1
485595,69357,98250,74.3,10,16486,51,21,,610,3,469,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
605882,80996,117400,71.98,10,16486,51,20,,557,3,469,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
617992,50322,67320,78.43,10,18471,48,20,,555,3,469,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
480841,70817,103150,70.77,10,16486,51,20,,610,3,469,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,2,1
552027,58459,81860,73.3,10,22333,45,21,,580,3,1912,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
537402,64213,82700,78.6,146,21003,86,22,,584,14,1708,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
431417,52303,74600,72.39,146,21003,86,22,,572,14,1708,711,D-Very Low Risk,5,3,0,66130,104315,104315,2482,0,1,0,0,1
608872,82586,95821,88.6,2,17383,86,21,,557,4,536,0,No Bureau History Available,0,0,0,0,0,0,0,3955,0,0,1,1
466155,48349,74151,67.43,10,15651,86,23,,614,3,1831,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
638153,42794,67320,65.95,10,18471,48,22,,551,3,1831,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
555560,44949,62320,74.78,10,18471,48,22,,784,3,1831,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
578192,55413,71169,79.95,10,18471,48,34,,565,3,1831,738,C-Very Low Risk,1,1,0,19837,26845,26845,2144,0,1,0,0,1
526075,40694,56450,74.93,10,18471,48,20,,589,3,1831,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
452310,53500,67591,81.37,146,15359,86,21,,620,14,907,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
483988,39500,65726,62.38,146,15359,86,44,,610,14,907,567,J-High Risk,51,18,0,776614,892858,893851,13670,0,7,0,0,1
614017,62213,74077,85.05,146,15359,86,23,,556,14,907,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
429891,43698,61150,72.85,136,14095,45,23,,602,8,574,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
472674,51419,64368,84.2,104,23125,51,28,,612,10,1987,732,D-Very Low Risk,6,2,0,350404,840000,840000,33312,0,0,0,0,1
543084,68317,94576,74.54,8,23738,49,20,,583,3,874,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
515603,63647,76681,84.77,10,13612,86,21,,592,3,1371,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
606395,81386,108400,76.57,10,13612,86,20,,557,3,1371,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
639264,65047,89675,74.71,10,18471,48,20,,551,3,1309,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
644907,87120,119688,74.78,10,23555,51,22,,550,3,1309,825,A-Very Low Risk,8,2,0,24342,60000,60000,13440,0,1,0,0,1
531919,58947,75755,80.52,10,22834,45,21,,586,3,1309,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
484819,47400,65666,74.62,10,16291,49,22,,610,3,1309,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
506109,78151,110290,72.45,10,16291,49,22,,596,3,1309,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
456351,79686,109542,73.94,11,22958,120,20,,619,3,1197,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
485390,56159,68483,83.96,67,22350,86,20,,610,6,970,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,1,1
622590,65669,91307,73.38,250,23000,86,22,,554,6,1940,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
509165,70623,99500,72.36,10,23509,51,22,,595,3,1388,17,Not Scored: Not Enough Info available on the customer,1,1,0,40180,31574,30000,1700,0,1,0,1,1
651706,70817,88518,82.47,10,21846,86,21,,549,3,1388,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,1
